stimType,stimID,thisRow.t,transparent,idiom,word,sentPos,readingTimes,questionCorrect,participantAnswer,trials.trialKey.rt,trials.trialKey.keys,trialKey.rt,trialKey.keys,practice.trialKey.rt,practice.trialKey.keys,practice.questionKey.rt,practice.questionKey.keys,participant,notes,keyWelcome.rt,keyWelcome.keys,keyStart.rt,keyStart.keys,frameRate,expName,welcome.stopped,welcome.started,trials.trialKey.duration,trials.thisTrialN,trials.thisRepN,trials.thisN,trials.thisIndex,trialText.started,trialKey.started,trialKey.duration,trial.stopped,trial.started,thisTrialN,thisRepN,thisN,start.stopped,start.started,session,questionText.started,questionKey.started,question.stopped,question.started,psychopyVersion,practice.trialKey.duration,practice.thisTrialN,practice.thisRepN,practice.thisN,practice.thisIndex,practice.questionKey.duration,meaning_literal,meaning_idiomatic,meaning_distractor,keyWelcome.started,keyWelcome.duration,keyStart.started,keyStart.duration,fixation.stopped,fixation.started,fix.stopped,fix.started,feedback.stopped,feedback.started,fb.stopped,fb.started,expStart,date,
,,,,,,,,,,,,,,,,,,261551,,2.4018445999827236,space,,,60.036153781513015,metaphors,2.4415291999466717,0.020903299911879003,,,,,,,,,,,,,,,,001,,,,,2024.2.4,,,,,,,,,,0.03121989988721907,None,,,,,,,,,,,2025-04-04 16h04.06.728537 +0200,2025-04-04_16h03.58.714,
practice_e,a,2.4639154999749735,1,Laura schopt het ver.,Laura,0,0.7172935999697074,,,,,,,,,,,261551,,,,,,60.036153781513015,metaphors,,,,,,,,3.4643735999707133,3.4643735999707133,,,3.4512830999447033,0,0,0,,,001,,,,,2024.2.4,,0,0,0,0,,Laura schopt iets ver weg.,Laura is succesvol.,Laura overtreedt een regel.,,,,,,2.4639154999749735,3.4511561999097466,2.454036199953407,,,,,2025-04-04 16h04.06.728537 +0200,2025-04-04_16h03.58.714,
practice_e,a,,1,Laura schopt het ver.,schopt,1,0.5009541000472382,,,,,,,,,,,261551,,,,,,60.036153781513015,metaphors,,,,,,,,,,,,,0,0,0,,,001,,,,,2024.2.4,,0,0,0,0,,Laura schopt iets ver weg.,Laura is succesvol.,Laura overtreedt een regel.,,,,,,,,,,,,,2025-04-04 16h04.06.728537 +0200,2025-04-04_16h03.58.714,
practice_e,a,,1,Laura schopt het ver.,het,2,0.6160913999192417,,,,,,,,,,,261551,,,,,,60.036153781513015,metaphors,,,,,,,,,,,,,0,0,0,,,001,,,,,2024.2.4,,0,0,0,0,,Laura schopt iets ver weg.,Laura is succesvol.,Laura overtreedt een regel.,,,,,,,,,,,,,2025-04-04 16h04.06.728537 +0200,2025-04-04_16h03.58.714,
practice_e,a,,1,Laura schopt het ver.,ver.,3,0.8500287999631837,,,,,,,,,,,261551,,,,,,60.036153781513015,metaphors,,,,,,,,,,,,,0,0,0,,,001,,,,,2024.2.4,,0,0,0,0,,Laura schopt iets ver weg.,Laura is succesvol.,Laura overtreedt een regel.,,,,,,,,,,,,,2025-04-04 16h04.06.728537 +0200,2025-04-04_16h03.58.714,
practice_e,a,,1,Laura schopt het ver.,,,,1,idiomatic,,,2.6702457000501454,space,2.6702457000501454,space,,,261551,,,,,,60.036153781513015,metaphors,,,,,,,,,,None,6.137223699945025,,0,0,0,,,001,6.163984699989669,6.163984699989669,,6.153721499955282,2024.2.4,None,0,0,0,0,,Laura schopt iets ver weg.,Laura is succesvol.,Laura overtreedt een regel.,,,,,,,,,,,,,2025-04-04 16h04.06.728537 +0200,2025-04-04_16h03.58.714,
practice_f,c,10.814256499987096,1,Hannah staat met haar mond vol brood.,Hannah,0,0.5172390000661835,,,,,,,,,3.6188687999965623,a,261551,,,,,,60.036153781513015,metaphors,,,,,,,,11.813944199937396,11.813944199937396,,,11.802134999888949,1,0,1,,,001,,,9.78750749991741,,2024.2.4,,1,0,1,2,None,Hannah heeft haar mond vol met brood.,Hannah weet niet wat ze moet zeggen.,Hannah is gulzig en eet veel.,,,,,,10.814256499987096,11.802001799922436,10.80229609995149,10.802118199993856,9.791957499925047,,9.813619199907407,2025-04-04 16h04.06.728537 +0200,2025-04-04_16h03.58.714,
practice_f,c,,1,Hannah staat met haar mond vol brood.,staat,1,0.3990366000216454,,,,,,,,,,,261551,,,,,,60.036153781513015,metaphors,,,,,,,,,,,,,1,0,1,,,001,,,,,2024.2.4,,1,0,1,2,,Hannah heeft haar mond vol met brood.,Hannah weet niet wat ze moet zeggen.,Hannah is gulzig en eet veel.,,,,,,,,,,,,,2025-04-04 16h04.06.728537 +0200,2025-04-04_16h03.58.714,
practice_f,c,,1,Hannah staat met haar mond vol brood.,met,2,0.41685319994576275,,,,,,,,,,,261551,,,,,,60.036153781513015,metaphors,,,,,,,,,,,,,1,0,1,,,001,,,,,2024.2.4,,1,0,1,2,,Hannah heeft haar mond vol met brood.,Hannah weet niet wat ze moet zeggen.,Hannah is gulzig en eet veel.,,,,,,,,,,,,,2025-04-04 16h04.06.728537 +0200,2025-04-04_16h03.58.714,
practice_f,c,,1,Hannah staat met haar mond vol brood.,haar,3,0.3164069000631571,,,,,,,,,,,261551,,,,,,60.036153781513015,metaphors,,,,,,,,,,,,,1,0,1,,,001,,,,,2024.2.4,,1,0,1,2,,Hannah heeft haar mond vol met brood.,Hannah weet niet wat ze moet zeggen.,Hannah is gulzig en eet veel.,,,,,,,,,,,,,2025-04-04 16h04.06.728537 +0200,2025-04-04_16h03.58.714,
practice_f,c,,1,Hannah staat met haar mond vol brood.,mond,4,0.3506331000244245,,,,,,,,,,,261551,,,,,,60.036153781513015,metaphors,,,,,,,,,,,,,1,0,1,,,001,,,,,2024.2.4,,1,0,1,2,,Hannah heeft haar mond vol met brood.,Hannah weet niet wat ze moet zeggen.,Hannah is gulzig en eet veel.,,,,,,,,,,,,,2025-04-04 16h04.06.728537 +0200,2025-04-04_16h03.58.714,
practice_f,c,,1,Hannah staat met haar mond vol brood.,vol,5,0.33316270005889237,,,,,,,,,,,261551,,,,,,60.036153781513015,metaphors,,,,,,,,,,,,,1,0,1,,,001,,,,,2024.2.4,,1,0,1,2,,Hannah heeft haar mond vol met brood.,Hannah weet niet wat ze moet zeggen.,Hannah is gulzig en eet veel.,,,,,,,,,,,,,2025-04-04 16h04.06.728537 +0200,2025-04-04_16h03.58.714,
practice_f,c,,1,Hannah staat met haar mond vol brood.,brood.,6,0.5322748000035062,,,,,,,,,,,261551,,,,,,60.036153781513015,metaphors,,,,,,,,,,,,,1,0,1,,,001,,,,,2024.2.4,,1,0,1,2,,Hannah heeft haar mond vol met brood.,Hannah weet niet wat ze moet zeggen.,Hannah is gulzig en eet veel.,,,,,,,,,,,,,2025-04-04 16h04.06.728537 +0200,2025-04-04_16h03.58.714,
practice_f,c,,1,Hannah staat met haar mond vol brood.,,,,0,distractor,,,2.8428800998954102,space,2.8428800998954102,space,,,261551,,,,,,60.036153781513015,metaphors,,,,,,,,,,None,14.66951949999202,,1,0,1,,,001,14.697758999885991,14.697758999885991,,14.682007599971257,2024.2.4,None,1,0,1,2,,Hannah heeft haar mond vol met brood.,Hannah weet niet wat ze moet zeggen.,Hannah is gulzig en eet veel.,,,,,,,,,,,,,2025-04-04 16h04.06.728537 +0200,2025-04-04_16h03.58.714,
practice_f,d,17.247420999919996,0,Leon zit in de bus.,Leon,0,0.5829887000145391,,,,,,,,,1.5320622000144795,c,261551,,,,,,60.036153781513015,metaphors,,,,,,,,18.247942699934356,18.247942699934356,,,18.23549639992416,2,0,2,,,001,,,16.23680489999242,,2024.2.4,,2,0,2,3,None,Leon is onderweg met de bus.,Leon is somber.,Leon wacht rustig af wat er gaat gebeuren.,,,,,18.247942699934356,17.247420999919996,18.23534449993167,17.235059799975716,17.23488009988796,16.241210299893282,17.247420999919996,16.24679289991036,2025-04-04 16h04.06.728537 +0200,2025-04-04_16h03.58.714,
practice_f,d,,0,Leon zit in de bus.,zit,1,0.3173702999483794,,,,,,,,,,,261551,,,,,,60.036153781513015,metaphors,,,,,,,,,,,,,2,0,2,,,001,,,,,2024.2.4,,2,0,2,3,,Leon is onderweg met de bus.,Leon is somber.,Leon wacht rustig af wat er gaat gebeuren.,,,,,,,,,,,,,2025-04-04 16h04.06.728537 +0200,2025-04-04_16h03.58.714,
practice_f,d,,0,Leon zit in de bus.,in,2,0.28280169994104654,,,,,,,,,,,261551,,,,,,60.036153781513015,metaphors,,,,,,,,,,,,,2,0,2,,,001,,,,,2024.2.4,,2,0,2,3,,Leon is onderweg met de bus.,Leon is somber.,Leon wacht rustig af wat er gaat gebeuren.,,,,,,,,,,,,,2025-04-04 16h04.06.728537 +0200,2025-04-04_16h03.58.714,
practice_f,d,,0,Leon zit in de bus.,de,3,0.3503166999435052,,,,,,,,,,,261551,,,,,,60.036153781513015,metaphors,,,,,,,,,,,,,2,0,2,,,001,,,,,2024.2.4,,2,0,2,3,,Leon is onderweg met de bus.,Leon is somber.,Leon wacht rustig af wat er gaat gebeuren.,,,,,,,,,,,,,2025-04-04 16h04.06.728537 +0200,2025-04-04_16h03.58.714,
practice_f,d,,0,Leon zit in de bus.,bus.,4,0.36539329995866865,,,,,,,,,,,261551,,,,,,60.036153781513015,metaphors,,,,,,,,,,,,,2,0,2,,,001,,,,,2024.2.4,,2,0,2,3,,Leon is onderweg met de bus.,Leon is somber.,Leon wacht rustig af wat er gaat gebeuren.,,,,,,,,,,,,,2025-04-04 16h04.06.728537 +0200,2025-04-04_16h03.58.714,
practice_f,d,,0,Leon zit in de bus.,,,,0,idiomatic,,,1.876378000015393,space,1.876378000015393,space,,,261551,,,,,,60.036153781513015,metaphors,,,,,,,,,,None,20.13608219998423,,2,0,2,,,001,20.16402649995871,20.16402649995871,,20.14816489990335,2024.2.4,None,2,0,2,3,,Leon is onderweg met de bus.,Leon is somber.,Leon wacht rustig af wat er gaat gebeuren.,,,,,,,,,,,,,2025-04-04 16h04.06.728537 +0200,2025-04-04_16h03.58.714,
practice_e,b,22.78032349993009,0,Tom heeft veel in zijn mars.,Tom,0,0.38274270005058497,,,,,,,,,1.6003619000548497,a,261551,,,,,,60.036153781513015,metaphors,,,,,,,,23.780915099894628,23.780915099894628,,,23.76880579988938,3,0,3,,,001,,,21.770610899897292,,2024.2.4,,3,0,3,1,None,Tom kan heel ver wandelen.,Tom kan en weet veel dingen.,Tom praat veel.,,,,,23.780915099894628,22.78032349993009,23.76866349996999,22.76901279995218,22.768821599893272,21.771132099907845,22.78032349993009,21.78066139994189,2025-04-04 16h04.06.728537 +0200,2025-04-04_16h03.58.714,
practice_e,b,,0,Tom heeft veel in zijn mars.,heeft,1,0.3164788999129087,,,,,,,,,,,261551,,,,,,60.036153781513015,metaphors,,,,,,,,,,,,,3,0,3,,,001,,,,,2024.2.4,,3,0,3,1,,Tom kan heel ver wandelen.,Tom kan en weet veel dingen.,Tom praat veel.,,,,,,,,,,,,,2025-04-04 16h04.06.728537 +0200,2025-04-04_16h03.58.714,
practice_e,b,,0,Tom heeft veel in zijn mars.,veel,2,0.26693019992671907,,,,,,,,,,,261551,,,,,,60.036153781513015,metaphors,,,,,,,,,,,,,3,0,3,,,001,,,,,2024.2.4,,3,0,3,1,,Tom kan heel ver wandelen.,Tom kan en weet veel dingen.,Tom praat veel.,,,,,,,,,,,,,2025-04-04 16h04.06.728537 +0200,2025-04-04_16h03.58.714,
practice_e,b,,0,Tom heeft veel in zijn mars.,in,3,0.2667679999722168,,,,,,,,,,,261551,,,,,,60.036153781513015,metaphors,,,,,,,,,,,,,3,0,3,,,001,,,,,2024.2.4,,3,0,3,1,,Tom kan heel ver wandelen.,Tom kan en weet veel dingen.,Tom praat veel.,,,,,,,,,,,,,2025-04-04 16h04.06.728537 +0200,2025-04-04_16h03.58.714,
practice_e,b,,0,Tom heeft veel in zijn mars.,zijn,4,0.43278719997033477,,,,,,,,,,,261551,,,,,,60.036153781513015,metaphors,,,,,,,,,,,,,3,0,3,,,001,,,,,2024.2.4,,3,0,3,1,,Tom kan heel ver wandelen.,Tom kan en weet veel dingen.,Tom praat veel.,,,,,,,,,,,,,2025-04-04 16h04.06.728537 +0200,2025-04-04_16h03.58.714,
practice_e,b,,0,Tom heeft veel in zijn mars.,mars.,5,0.40068339998833835,,,,,,,,,,,261551,,,,,,60.036153781513015,metaphors,,,,,,,,,,,,,3,0,3,,,001,,,,,2024.2.4,,3,0,3,1,,Tom kan heel ver wandelen.,Tom kan en weet veel dingen.,Tom praat veel.,,,,,,,,,,,,,2025-04-04 16h04.06.728537 +0200,2025-04-04_16h03.58.714,
practice_e,b,,0,Tom heeft veel in zijn mars.,,,,1,idiomatic,,,2.0443540000123903,space,2.0443540000123903,space,,,261551,,,,,,60.036153781513015,metaphors,,,,,,,,,,None,25.836678799940273,,3,0,3,,,001,25.864043699926697,25.864043699926697,,25.847810599952936,2024.2.4,None,3,0,3,1,,Tom kan heel ver wandelen.,Tom kan en weet veel dingen.,Tom praat veel.,,,,,,,,,,,,,2025-04-04 16h04.06.728537 +0200,2025-04-04_16h03.58.714,
,,,,,,,,,,,,,,,,1.175723599968478,b,261551,,,,0.5422900000121444,space,60.036153781513015,metaphors,,,,,,,,,,,,,,,,28.635415499913506,28.051952399895526,001,,,27.053024899912998,,2024.2.4,,,,,,None,,,,,,28.080744199920446,None,,,,,28.05186759994831,27.055584199959412,28.080744199920446,27.063838199945167,2025-04-04 16h04.06.728537 +0200,2025-04-04_16h03.58.714,
experimental,7,28.680007599992678,1,Tim helpt Niels uit de brand.,Tim,0,0.4834348000586033,,,,,,,,,,,261551,,,,,,60.036153781513015,metaphors,,,,0,0,0,6,29.663407299900427,29.663407299900427,,,29.651363399927504,0,0,0,,,001,,,,,2024.2.4,,,,,,,"Tim redt Niels, omdat er brand is.",Tim helpt Niels met grote problemen.,Tim helpt Niels met vuur maken.,,,,,,28.680007599992678,29.65123589988798,28.67419539997354,,,,,2025-04-04 16h04.06.728537 +0200,2025-04-04_16h03.58.714,
experimental,7,,1,Tim helpt Niels uit de brand.,helpt,1,0.367469200049527,,,,,,,,,,,261551,,,,,,60.036153781513015,metaphors,,,,0,0,0,6,,,,,,0,0,0,,,001,,,,,2024.2.4,,,,,,,"Tim redt Niels, omdat er brand is.",Tim helpt Niels met grote problemen.,Tim helpt Niels met vuur maken.,,,,,,,,,,,,,2025-04-04 16h04.06.728537 +0200,2025-04-04_16h03.58.714,
experimental,7,,1,Tim helpt Niels uit de brand.,Niels,2,0.29925240005832165,,,,,,,,,,,261551,,,,,,60.036153781513015,metaphors,,,,0,0,0,6,,,,,,0,0,0,,,001,,,,,2024.2.4,,,,,,,"Tim redt Niels, omdat er brand is.",Tim helpt Niels met grote problemen.,Tim helpt Niels met vuur maken.,,,,,,,,,,,,,2025-04-04 16h04.06.728537 +0200,2025-04-04_16h03.58.714,
experimental,7,,1,Tim helpt Niels uit de brand.,uit,3,0.28361339995171875,,,,,,,,,,,261551,,,,,,60.036153781513015,metaphors,,,,0,0,0,6,,,,,,0,0,0,,,001,,,,,2024.2.4,,,,,,,"Tim redt Niels, omdat er brand is.",Tim helpt Niels met grote problemen.,Tim helpt Niels met vuur maken.,,,,,,,,,,,,,2025-04-04 16h04.06.728537 +0200,2025-04-04_16h03.58.714,
experimental,7,,1,Tim helpt Niels uit de brand.,de,4,0.26683540001977235,,,,,,,,,,,261551,,,,,,60.036153781513015,metaphors,,,,0,0,0,6,,,,,,0,0,0,,,001,,,,,2024.2.4,,,,,,,"Tim redt Niels, omdat er brand is.",Tim helpt Niels met grote problemen.,Tim helpt Niels met vuur maken.,,,,,,,,,,,,,2025-04-04 16h04.06.728537 +0200,2025-04-04_16h03.58.714,
experimental,7,,1,Tim helpt Niels uit de brand.,brand.,5,0.3820980000309646,,,,,,,,,,,261551,,,,,,60.036153781513015,metaphors,,,,0,0,0,6,,,,,,0,0,0,,,001,,,,,2024.2.4,,,,,,,"Tim redt Niels, omdat er brand is.",Tim helpt Niels met grote problemen.,Tim helpt Niels met vuur maken.,,,,,,,,,,,,,2025-04-04 16h04.06.728537 +0200,2025-04-04_16h03.58.714,
,,,,,,,,,,2.0568337999284267,space,,,,,,,,,,,,,,,,,None,,,,,,,,31.735954999923706,,,,,,,,31.76362819992937,31.76362819992937,,31.74858569994103,,,,,,,,,,,,,,,,,,,,,,,,,
